id	past	root	futureType	triliteral	transitive
1	أَمْكَنَ	مكن	فتحة	0	0
2	اِسْتَحَالَ	حيل	فتحة	0	0
3	أَغْمَى	غمي	فتحة	0	0
4	اِنْبَغَى	بغي	فتحة	0	0
5	اِنْفَكَّ	فكك	فتحة	0	0
6	تَعَالَى	علو	فتحة	0	0
7	أَوْشَكَ	وشك	فتحة	0	0
8	عَيَّا	عيي	فتحة	0	0
9	زَيَّا	زيي	فتحة	0	1
10	حَيَّا	حيي	فتحة	0	1
11	تَحَتَّمَ	حتم	فتحة	0	0
12	أَحْيَا	حيي	فتحة	0	1
13	أَعْيَا	عيي	فتحة	0	1
14	تَحَيَّا	حيي	فتحة	0	0
15	تَزَيَّا	زيي	فتحة	0	0
16	اِسْتَعْيَا	عيي	فتحة	0	1
17	اِسْتَحْيَا	حيي	فتحة	0	1
18	آوَى	ءوي	فتحة	0	1
19	خَبَّصَ	خبص	فتحة	0	0
20	خَبَّلَ	خبل	فتحة	0	1
21	غَوَّصَ	غوص	فتحة	0	1
22	ذَلَّقَ	ذلق	فتحة	0	1
23	وَقَّتَ	وقت	فتحة	0	1
24	خَوَّلَ	خول	فتحة	0	1
25	رَقْرَقَ	رقرق	فتحة	0	1
26	رَقَّشَ	رقش	فتحة	0	1
27	رَيَّقَ	ريق	فتحة	0	1
28	دَكَّكَ	دكك	فتحة	0	1
29	بَسَّطَ	بسط	فتحة	0	1
30	ثَلَّمَ	ثلم	فتحة	0	1
31	رَنَّمَ	رنم	فتحة	0	0
32	رَكَّعَ	ركع	فتحة	0	1
33	حَمْدَلَ	حمدل	فتحة	0	0
34	قَلَّعَ	قلع	فتحة	0	1
35	نَظَّفَ	نظف	فتحة	0	1
36	دَوَّمَ	دوم	فتحة	0	1
37	عَطَّلَ	عطل	فتحة	0	1
38	طَفَّرَ	طفر	فتحة	0	1
39	زَفَّتَ	زفت	فتحة	0	1
40	شَيَّطَ	شيط	فتحة	0	1
41	رَغْرَغَ	رغرغ	فتحة	0	1
42	طَرَّبَ	طرب	فتحة	0	1
43	نَعَّشَ	نعش	فتحة	0	1
44	رَكَّزَ	ركز	فتحة	0	1
45	سَمَّرَ	سمر	فتحة	0	1
46	رَكَّبَ	ركب	فتحة	0	1
47	جَبَّرَ	جبر	فتحة	0	1
48	هَرَّشَ	هرش	فتحة	0	0
49	لَوَّزَ	لوز	فتحة	0	1
50	رَعْرَعَ	رعرع	فتحة	0	1
51	نَمَّشَ	نمش	فتحة	0	1
52	حَبَّبَ	حبب	فتحة	0	1
53	رَقَّقَ	رقق	فتحة	0	1
54	قَلَّدَ	قلد	فتحة	0	1
55	رَفَّهَ	رفه	فتحة	0	1
56	رَمَّدَ	رمد	فتحة	0	1
57	رَدَّدَ	ردد	فتحة	0	1
58	فَكَّهَ	فكه	فتحة	0	1
59	جَسَّمَ	جسم	فتحة	0	1
60	رَعْبَلَ	رعب	فتحة	0	1
61	رَهَّطَ	رهط	فتحة	0	1
62	رَهَّلَ	رهل	فتحة	0	1
63	بَخَّرَ	بخر	فتحة	0	1
64	دَرَّسَ	درس	فتحة	0	1
65	طَلَّسَ	طلس	فتحة	0	1
66	عَسْعَسَ	عسعس	فتحة	0	1
67	جَدَّدَ	جدد	فتحة	0	1
68	نَجَّحَ	نجح	فتحة	0	1
69	مَضَّرَ	مضر	فتحة	0	1
70	كَمْكَمَ	كمكم	فتحة	0	1
71	سَمَّتَ	سمت	فتحة	0	1
72	جَصَّصَ	جصص	فتحة	0	1
73	طَلَّعَ	طلع	فتحة	0	1
74	جَسَّرَ	جسر	فتحة	0	1
75	رَمْرَمَ	رمرم	فتحة	0	0
76	مَثَّلَ	مثل	فتحة	0	1
77	شَطَّطَ	شطط	فتحة	0	0
78	تَلْفَزَ	تلفز	فتحة	0	1
79	فَعَّلَ	فعل	فتحة	0	1
80	نَدَّفَ	ندف	فتحة	0	1
81	حَقَّقَ	حقق	فتحة	0	1
82	حَلْحَلَ	حلحل	فتحة	0	1
83	جَدَّفَ	جدف	فتحة	0	0
84	خَرَّقَ	خرق	فتحة	0	1
85	شَوَّشَ	شوش	فتحة	0	1
86	صَعْتَرَ	صعتر	فتحة	0	1
87	شَمَّمَ	شمم	فتحة	0	1
88	فَيَّحَ	فيح	فتحة	0	1
89	حَسَّرَ	حسر	فتحة	0	1
90	صَبَّنَ	صبن	فتحة	0	1
91	شَجَّعَ	شجع	فتحة	0	1
92	حَلَّمَ	حلم	فتحة	0	1
93	حَمْحَمَ	حمحم	فتحة	0	0
94	حَمَّدَ	حمد	فتحة	0	1
95	طَوَّقَ	طوق	فتحة	0	1
96	مَوْضَعَ	وضع	فتحة	0	1
97	لَثَّمَ	لثم	فتحة	0	1
98	نَحْنَحَ	نحنح	فتحة	0	0
99	عَوَّصَ	عوص	فتحة	0	0
100	صَمْصَمَ	صمصم	فتحة	0	0
101	وَكَّلَ	وكل	فتحة	0	1
102	لَوَّنَ	لون	فتحة	0	1
103	حَمَّلَ	حمل	فتحة	0	1
104	زَيَّنَ	زين	فتحة	0	1
105	حَمْلَقَ	حملق	فتحة	0	0
106	حَنْبَلَ	حنبل	فتحة	0	0
107	حَنْجَرَ	حنجر	فتحة	0	1
108	حَوَّضَ	حوض	فتحة	0	1
109	لَيَّفَ	ليف	فتحة	0	1
110	صَفَّحَ	صفح	فتحة	0	1
111	وَرَّكَ	ورك	فتحة	0	1
112	حَفَّضَ	حفض	فتحة	0	1
113	ضَرَّجَ	ضرج	فتحة	0	1
114	نَفَّلَ	نفل	فتحة	0	1
115	بَيَّتَ	بيت	فتحة	0	1
116	وَدَّعَ	ودع	فتحة	0	1
117	حَفْحَفَ	حفحف	فتحة	0	0
118	كَذَّبَ	كذب	فتحة	0	1
119	رَفَّدَ	رفد	فتحة	0	1
120	حَبَّكَ	حبك	فتحة	0	1
121	خَزَّنَ	خزن	فتحة	0	1
122	وَرَّبَ	ورب	فتحة	0	0
123	حَوَّطَ	حوط	فتحة	0	1
124	زَوَّلَ	زول	فتحة	0	1
125	حَسْحَسَ	حسحس	فتحة	0	1
126	قَنَّعَ	قنع	فتحة	0	1
127	خَجَّلَ	خجل	فتحة	0	1
128	صَبَّحَ	صبح	فتحة	0	1
129	ظَلَّفَ	ظلف	فتحة	0	1
130	حَصْحَصَ	حصحص	فتحة	0	1
131	حَيَّضَ	حيض	فتحة	0	1
132	قَعَّرَ	قعر	فتحة	0	1
133	فَقَّرَ	فقر	فتحة	0	1
134	زَرَّفَ	زرف	فتحة	0	1
135	هَبَّلَ	هبل	فتحة	0	1
136	خَتَّمَ	ختم	فتحة	0	1
137	جَنْدَلَ	جندل	فتحة	0	1
138	رَوَّبَ	روب	فتحة	0	1
139	خَرْخَرَ	خرخر	فتحة	0	0
140	فَسَّقَ	فسق	فتحة	0	1
141	خَذَّلَ	خذل	فتحة	0	1
142	مَعْجَمَ	عجم	فتحة	0	1
143	حَجَّبَ	حجب	فتحة	0	1
144	صَرَّحَ	صرح	فتحة	0	1
145	هَمْهَمَ	همهم	فتحة	0	0
146	بَلَّدَ	بلد	فتحة	0	1
147	خَرَّزَ	خرز	فتحة	0	1
148	قَوَّضَ	قوض	فتحة	0	1
149	رَوَّقَ	روق	فتحة	0	1
150	وَحَّمَ	وحم	فتحة	0	1
151	خَسَّرَ	خسر	فتحة	0	1
152	سَبْحَلَ	سبحل	فتحة	0	0
153	غَفَّقَ	غفق	فتحة	0	0
154	خَشَّبَ	خشب	فتحة	0	0
155	خَشَّفَ	خشف	فتحة	0	0
156	قَشَّفَ	قشف	فتحة	0	1
157	حَظَّرَ	حظر	فتحة	0	1
158	قَلَّصَ	قلص	فتحة	0	1
159	خَذْرَفَ	خذرف	فتحة	0	1
160	زَعْنَفَ	زعنف	فتحة	0	1
161	مَفْصَلَ	فصل	فتحة	0	1
162	وَعَّقَ	وعق	فتحة	0	1
163	مَقْمَقَ	مقمق	فتحة	0	1
164	سَوَّطَ	سوط	فتحة	0	1
165	لَدَّدَ	لدد	فتحة	0	1
166	جَبَّسَ	جبس	فتحة	0	1
167	خَتَّرَ	ختر	فتحة	0	1
168	رَشَّحَ	رشح	فتحة	0	1
169	هَتَّفَ	هتف	فتحة	0	1
170	عَوَّذَ	عوذ	فتحة	0	1
171	دَنَّنَ	دنن	فتحة	0	0
172	رَقَّمَ	رقم	فتحة	0	1
173	وَشْوَشَ	وشوش	فتحة	0	1
174	جَلَّلَ	جلل	فتحة	0	1
175	ذَوَّدَ	ذود	فتحة	0	1
176	جَيَّشَ	جيش	فتحة	0	1
177	رَسَّمَ	رسم	فتحة	0	1
178	وَغَّرَ	وغر	فتحة	0	1
179	وَطَّدَ	وطد	فتحة	0	1
180	شَرَّحَ	شرح	فتحة	0	1
181	حَذَّقَ	حذق	فتحة	0	1
182	رَسَّخَ	رسخ	فتحة	0	1
183	رَصَّفَ	رصف	فتحة	0	1
184	غَلَّفَ	غلف	فتحة	0	1
185	نَحَّلَ	نحل	فتحة	0	1
186	صَلَّعَ	صلع	فتحة	0	0
187	رَزَّزَ	رزز	فتحة	0	1
188	صَمَّتَ	صمت	فتحة	0	1
189	وَهَّمَ	وهم	فتحة	0	1
190	نَمَّقَ	نمق	فتحة	0	1
191	سَخَّنَ	سخن	فتحة	0	1
192	خَرَّمَ	خرم	فتحة	0	1
193	وَهَّنَ	وهن	فتحة	0	1
194	وَقَّدَ	وقد	فتحة	0	1
195	تَيَّهَ	تيه	فتحة	0	1
196	رَوَّعَ	روع	فتحة	0	1
197	حَرَّدَ	حرد	فتحة	0	1
198	وَلْوَلَ	ولول	فتحة	0	0
199	دَنَّرَ	دنر	فتحة	0	1
200	رَجَّنَ	رجن	فتحة	0	1
201	رَدَّعَ	ردع	فتحة	0	1
202	شَكَّلَ	شكل	فتحة	0	1
203	حَصَّصَ	حصص	فتحة	0	1
204	رَدَّحَ	ردح	فتحة	0	1
205	وَضَّعَ	وضع	فتحة	0	1
206	نَصَّبَ	نصب	فتحة	0	1
207	شَتَّتَ	شتت	فتحة	0	1
208	جَنَّسَ	جنس	فتحة	0	1
209	حَوَّرَ	حور	فتحة	0	1
210	رَخَّصَ	رخص	فتحة	0	1
211	وَلَّهَ	وله	فتحة	0	1
212	وَلَّعَ	ولع	فتحة	0	1
213	زَمْهَرَ	زمهر	فتحة	0	0
214	رَبَّضَ	ربض	فتحة	0	1
215	رَبَّعَ	ربع	فتحة	0	1
216	دَمَّسَ	دمس	فتحة	0	1
217	كَفَّلَ	كفل	فتحة	0	1
218	طَبَّقَ	طبق	فتحة	0	1
219	كَتَّفَ	كتف	فتحة	0	1
220	سَلَّحَ	سلح	فتحة	0	1
221	رَبَّثَ	ربث	فتحة	0	1
222	ذَهَّبَ	ذهب	فتحة	0	1
223	شَقَّقَ	شقق	فتحة	0	1
224	ثَمَّنَ	ثمن	فتحة	0	1
225	لَبَّدَ	لبد	فتحة	0	1
226	حَلَّلَ	حلل	فتحة	0	1
227	لَوَّطَ	لوط	فتحة	0	1
228	يَقَّظَ	يقظ	فتحة	0	1
229	نَفَّذَ	نفذ	فتحة	0	1
230	زَقَّقَ	زقق	فتحة	0	1
231	يَبَّبَ	يبب	فتحة	0	1
232	تَمَلَّصَ	ملص	فتحة	0	0
233	يَسَّرَ	يسر	فتحة	0	1
234	مَنَّعَ	منع	فتحة	0	1
235	تَلْفَزَ	لفز	فتحة	0	1
236	فَلَّقَ	فلق	فتحة	0	1
237	شَخَّرَ	شخر	فتحة	0	0
238	يَمَّنَ	يمن	فتحة	0	0
239	ذَقَّنَ	ذقن	فتحة	0	0
240	ذَمَّمَ	ذمم	فتحة	0	1
241	هَتَّكَ	هتك	فتحة	0	1
242	نَشَّفَ	نشف	فتحة	0	1
243	ذَوَّبَ	ذوب	فتحة	0	1
244	خَوَّفَ	خوف	فتحة	0	1
245	حَذْلَقَ	حذلق	فتحة	0	0
246	وَلَّدَ	ولد	فتحة	0	1
247	حَصَّلَ	حصل	فتحة	0	1
248	جَدَّعَ	جدع	فتحة	0	1
249	بَيَّضَ	بيض	فتحة	0	1
250	جَدَّرَ	جدر	فتحة	0	1
251	جَوَّقَ	جوق	فتحة	0	1
252	مَخَّخَ	مخخ	فتحة	0	1
253	رَجْرَجَ	رجرج	فتحة	0	1
254	زَبَّرَ	زبر	فتحة	0	1
255	وَسَّدَ	وسد	فتحة	0	1
256	سَبَّبَ	سبب	فتحة	0	1
257	جَلَّبَ	جلب	فتحة	0	0
258	هَزْبَرَ	هزبر	فتحة	0	1
259	رَبَّزَ	ربز	فتحة	0	1
260	سَكَّتَ	سكت	فتحة	0	1
261	حَرَّشَ	حرش	فتحة	0	0
262	دَوْزَنَ	دوزن	فتحة	0	1
263	جَوَّلَ	جول	فتحة	0	0
264	شَيَّتَ	شيت	فتحة	0	1
265	رَيَّشَ	ريش	فتحة	0	1
266	رَيَّعَ	ريع	فتحة	0	1
267	مَنَّنَ	منن	فتحة	0	0
268	دَثَّرَ	دثر	فتحة	0	1
269	جَرَّبَ	جرب	فتحة	0	1
270	ضَرَّبَ	ضرب	فتحة	0	1
271	نَضَّدَ	نضد	فتحة	0	1
272	بَرْذَنَ	برذن	فتحة	0	0
273	دَمْلَجَ	دملج	فتحة	0	1
274	قَيَّدَ	قيد	فتحة	0	1
275	قَيَّحَ	قيح	فتحة	0	0
276	بَلَّطَ	بلط	فتحة	0	1
277	زَبَّدَ	زبد	فتحة	0	1
278	صَرَّمَ	صرم	فتحة	0	1
279	ثَبَّطَ	ثبط	فتحة	0	1
280	رَيَّمَ	ريم	فتحة	0	0
281	هَيْمَنَ	هيمن	فتحة	0	0
282	زَجَّجَ	زجج	فتحة	0	1
283	رَوَّدَ	رود	فتحة	0	1
284	دَوَّخَ	دوخ	فتحة	0	1
285	مَرَّقَ	مرق	فتحة	0	1
286	دَسَّمَ	دسم	فتحة	0	1
287	لَبَّكَ	لبك	فتحة	0	1
288	زَبَّلَ	زبل	فتحة	0	1
289	تَوَّهَ	توه	فتحة	0	1
290	زَخْرَفَ	زخرف	فتحة	0	1
291	عَتَّقَ	عتق	فتحة	0	1
292	عَوَّلَ	عول	فتحة	0	0
293	زَرْزَرَ	زرزر	فتحة	0	0
294	ضَلَّلَ	ضلل	فتحة	0	1
295	ثَوَّرَ	ثور	فتحة	0	1
296	وَثَّفَ	وثف	فتحة	0	1
297	صَنَّمَ	صنم	فتحة	0	1
298	فَخْفَخَ	فخفخ	فتحة	0	0
299	رَضَّفَ	رضف	فتحة	0	1
300	رَفَّلَ	رفل	فتحة	0	1
301	زَرْفَنَ	زرفن	فتحة	0	1
302	سَحَّرَ	سحر	فتحة	0	1
303	كَلَّبَ	كلب	فتحة	0	1
304	هَجَّجَ	هجج	فتحة	0	1
305	غَيَّمَ	غيم	فتحة	0	0
306	قَطَّعَ	قطع	فتحة	0	1
307	وَيَّلَ	ويل	فتحة	0	1
308	خَيَّمَ	خيم	فتحة	0	0
309	زَحْلَفَ	زحلف	فتحة	0	1
310	عَسَّرَ	عسر	فتحة	0	1
311	فَتَّنَ	فتن	فتحة	0	1
312	وَزَّفَ	وزف	فتحة	0	0
313	زَحْزَحَ	زحزح	فتحة	0	1
314	وَقْوَقَ	وقوق	فتحة	0	0
315	هَرْهَرَ	هرهر	فتحة	0	1
316	حَرَّرَ	حرر	فتحة	0	1
317	حَمَّضَ	حمض	فتحة	0	1
318	دَمَّنَ	دمن	فتحة	0	1
319	مَطَّطَ	مطط	فتحة	0	1
320	وَقَّرَ	وقر	فتحة	0	1
321	ذَبَّحَ	ذبح	فتحة	0	1
322	ذَبْذَبَ	ذبذب	فتحة	0	1
323	حَثَّثَ	حثث	فتحة	0	1
324	صَرَّعَ	صرع	فتحة	0	1
325	ذَرَّحَ	ذرح	فتحة	0	1
326	نَقْنَقَ	نقنق	فتحة	0	0
327	قَرَّصَ	قرص	فتحة	0	1
328	نَقَّرَ	نقر	فتحة	0	1
329	وَصْوَصَ	وصوص	فتحة	0	0
330	وَكَّدَ	وكد	فتحة	0	1
331	وَفَّقَ	وفق	فتحة	0	1
332	دَوَّرَ	دور	فتحة	0	1
333	دَهَّنَ	دهن	فتحة	0	1
334	دَلَّهَ	دله	فتحة	0	1
335	بَلَّلَ	بلل	فتحة	0	1
336	شَرَّبَ	شرب	فتحة	0	1
337	جَدْوَلَ	جدول	فتحة	0	1
338	حَضَّضَ	حضض	فتحة	0	1
339	دَلَّلَ	دلل	فتحة	0	1
340	وَتَّدَ	وتد	فتحة	0	1
341	دَلَّكَ	دلك	فتحة	0	1
342	هَرَّمَ	هرم	فتحة	0	1
343	فَتَّتَ	فتت	فتحة	0	1
344	قَمْقَمَ	قمقم	فتحة	0	1
345	شَغَّلَ	شغل	فتحة	0	1
346	نَقَّمَ	نقم	فتحة	0	1
347	فَكَّرَ	فكر	فتحة	0	1
348	عَنَّتَ	عنت	فتحة	0	1
349	شَرَّفَ	شرف	فتحة	0	1
350	لَعَّقَ	لعق	فتحة	0	1
351	زَبَّبَ	زبب	فتحة	0	1
352	كَسَّبَ	كسب	فتحة	0	1
353	رَهَّبَ	رهب	فتحة	0	1
354	نَزَّعَ	نزع	فتحة	0	1
355	عَمَّهَ	عمه	فتحة	0	0
356	عَطَّبَ	عطب	فتحة	0	1
357	ذَكَّرَ	ذكر	فتحة	0	1
358	ذَرَّعَ	ذرع	فتحة	0	1
359	قَهْقَرَ	قهقر	فتحة	0	0
360	سَلَّطَ	سلط	فتحة	0	1
361	دَيَّنَ	دين	فتحة	0	1
362	شَيْطَنَ	شيطن	فتحة	0	0
363	حَرَّجَ	حرج	فتحة	0	1
364	دَوَّسَ	دوس	فتحة	0	1
365	وَهْوَهَ	وهوه	فتحة	0	0
366	سَفَّعَ	سفع	فتحة	0	1
367	عَتَّدَ	عتد	فتحة	0	1
368	رَبَّقَ	ربق	فتحة	0	1
369	وَكَّبَ	وكب	فتحة	0	0
370	رَجَّلَ	رجل	فتحة	0	1
371	زَنَّمَ	زنم	فتحة	0	1
372	زَهَّدَ	زهد	فتحة	0	1
373	دَقَّقَ	دقق	فتحة	0	1
374	زَوَّدَ	زود	فتحة	0	1
375	زَلَّلَ	زلل	فتحة	0	1
376	كَمَّشَ	كمش	فتحة	0	1
377	زَحْلَقَ	زحلق	فتحة	0	1
378	خَنَّثَ	خنث	فتحة	0	1
379	زَوَّجَ	زوج	فتحة	0	1
380	طَلَّبَ	طلب	فتحة	0	1
381	هَذَّبَ	هذب	فتحة	0	1
382	هَزَّزَ	هزز	فتحة	0	1
383	عَيَّنَ	عين	فتحة	0	1
384	سَلَّفَ	سلف	فتحة	0	1
385	جَمَّعَ	جمع	فتحة	0	1
386	سَلَّخَ	سلخ	فتحة	0	1
387	شَوَّرَ	شور	فتحة	0	1
388	سَلَّسَ	سلس	فتحة	0	1
389	طَيَّحَ	طيح	فتحة	0	1
390	سَفَّطَ	سفط	فتحة	0	1
391	رَصَّدَ	رصد	فتحة	0	1
392	بَوَّقَ	بوق	فتحة	0	1
393	عَزَّفَ	عزف	فتحة	0	0
394	سَبَّطَ	سبط	فتحة	0	0
395	رَغَّبَ	رغب	فتحة	0	1
396	تَكْتَكَ	تكت	فتحة	0	1
397	رَمَّلَ	رمل	فتحة	0	1
398	تَرَّفَ	ترف	فتحة	0	1
399	سَجَّعَ	سجع	فتحة	0	0
400	سَرْدَقَ	سردق	فتحة	0	1
401	زَيَّغَ	زيغ	فتحة	0	1
402	كَوَّمَ	كوم	فتحة	0	1
403	سَبَّخَ	سبخ	فتحة	0	1
404	تَعْتَعَ	تعتع	فتحة	0	1
405	طَلَّمَ	طلم	فتحة	0	1
406	فَرْتَكَ	فرتك	فتحة	0	1
407	خَفْخَفَ	خفخف	فتحة	0	1
408	دَوَّحَ	دوح	فتحة	0	1
409	تَلْمَذَ	تلمذ	فتحة	0	1
410	زَمَّمَ	زمم	فتحة	0	1
411	تَمْتَمَ	تمتم	فتحة	0	1
412	هَدَّنَ	هدن	فتحة	0	1
413	زَيَّدَ	زيد	فتحة	0	1
414	زَلَّقَ	زلق	فتحة	0	1
415	زَمَّرَ	زمر	فتحة	0	1
416	سَبَّلَ	سبل	فتحة	0	1
417	رَقَّعَ	رقع	فتحة	0	1
418	سَبْسَبَ	سبسب	فتحة	0	1
419	بَرَّزَ	برز	فتحة	0	1
420	زَيَّتَ	زيت	فتحة	0	1
421	سَبَّكَ	سبك	فتحة	0	1
422	دَبَّحَ	دبح	فتحة	0	1
423	طَبَّعَ	طبع	فتحة	0	1
424	نَتَّنَ	نتن	فتحة	0	1
425	تَرَّحَ	ترح	فتحة	0	1
426	جَعَّبَ	جعب	فتحة	0	1
427	عَلَّمَ	علم	فتحة	0	1
428	جَنَّبَ	جنب	فتحة	0	1
429	كَلَّسَ	كلس	فتحة	0	1
430	طَحْلَبَ	طحلب	فتحة	0	1
431	طَحَّنَ	طحن	فتحة	0	1
432	غَرَّدَ	غرد	فتحة	0	0
433	طَبْطَبَ	طبطب	فتحة	0	1
434	طَرَّحَ	طرح	فتحة	0	1
435	ضَجَّعَ	ضجع	فتحة	0	0
436	مَزَّقَ	مزق	فتحة	0	1
437	ضَفْدَعَ	ضفدع	فتحة	0	0
438	لَبَّنَ	لبن	فتحة	0	1
439	ضَحَّكَ	ضحك	فتحة	0	1
440	ضَرَّمَ	ضرم	فتحة	0	1
441	شَعْوَذَ	شعذ	فتحة	0	0
442	مَصَّرَ	مصر	فتحة	0	1
443	طَرَّرَ	طرر	فتحة	0	0
444	طَرَّسَ	طرس	فتحة	0	1
445	سَفَّرَ	سفر	فتحة	0	1
446	زَنَّدَ	زند	فتحة	0	1
447	نَقَّسَ	نقس	فتحة	0	1
448	طَرَّقَ	طرق	فتحة	0	1
449	وَكَّفَ	وكف	فتحة	0	1
450	غَمَّسَ	غمس	فتحة	0	1
451	جَهَّزَ	جهز	فتحة	0	1
452	سَكَّعَ	سكع	فتحة	0	1
453	سَدَّدَ	سدد	فتحة	0	1
454	سَرْبَلَ	سربل	فتحة	0	1
455	سَرَّقَ	سرق	فتحة	0	1
456	سَكَّنَ	سكن	فتحة	0	1
457	رَفْرَفَ	رفرف	فتحة	0	0
458	سَلْسَلَ	سلسل	فتحة	0	1
459	قَمَّصَ	قمص	فتحة	0	1
460	جَمَّدَ	جمد	فتحة	0	1
461	صَدَّقَ	صدق	فتحة	0	1
462	حَصْرَمَ	حصرم	فتحة	0	1
463	زَلَّجَ	زلج	فتحة	0	1
464	نَفَّرَ	نفر	فتحة	0	1
465	سَطَّرَ	سطر	فتحة	0	1
466	طَفْطَفَ	طفطف	فتحة	0	0
467	بَكَّرَ	بكر	فتحة	0	0
468	سَرَّدَ	سرد	فتحة	0	1
469	وَعْوَعَ	وعوع	فتحة	0	0
470	عَنْعَنَ	عنعن	فتحة	0	0
471	سَدَّسَ	سدس	فتحة	0	1
472	قَوَّسَ	قوس	فتحة	0	1
473	فَجَّعَ	فجع	فتحة	0	1
474	بَوَّلَ	بول	فتحة	0	1
475	طَيَّرَ	طير	فتحة	0	1
476	ضَمَّنَ	ضمن	فتحة	0	1
477	سَيَّعَ	سيع	فتحة	0	1
478	حَوْصَلَ	حصل	فتحة	0	1
479	بَيْطَرَ	بيطر	فتحة	0	1
480	تَطَيَّرَ	طير	فتحة	0	0
481	رَوَّضَ	روض	فتحة	0	1
482	سَيَّلَ	سيل	فتحة	0	1
483	دَجْدَجَ	دجدج	فتحة	0	0
484	عَيَّرَ	عير	فتحة	0	1
485	وَظَّفَ	وظف	فتحة	0	1
486	سَحَّمَ	سحم	فتحة	0	1
487	كَفْكَفَ	كفكف	فتحة	0	1
488	رَقَّدَ	رقد	فتحة	0	1
489	وَحَّدَ	وحد	فتحة	0	1
490	جَوَّفَ	جوف	فتحة	0	1
491	حَدَّبَ	حدب	فتحة	0	1
492	سَمْسَرَ	سمسر	فتحة	0	1
493	عَفَّرَ	عفر	فتحة	0	1
494	دَبْدَبَ	دبدب	فتحة	0	0
495	حَدَّثَ	حدث	فتحة	0	1
496	بَلْوَرَ	بلور	فتحة	0	1
497	مَرَّرَ	مرر	فتحة	0	1
498	طَوَّلَ	طول	فتحة	0	1
499	وَطْوَطَ	وطوط	فتحة	0	0
500	وَرْوَرَ	ورور	فتحة	0	1
501	هَيَّبَ	هيب	فتحة	0	1
502	خَصَّصَ	خصص	فتحة	0	1
503	سَيَّرَ	سير	فتحة	0	1
504	سَيَّحَ	سيح	فتحة	0	1
505	صَوْبَنَ	صوبن	فتحة	0	1
506	سَيَّجَ	سيج	فتحة	0	1
507	قَصَّدَ	قصد	فتحة	0	1
508	لَوَّمَ	لوم	فتحة	0	1
509	رَغَّمَ	رغم	فتحة	0	1
510	رَخَّمَ	رخم	فتحة	0	1
511	عَقَّمَ	عقم	فتحة	0	1
512	عَسَّفَ	عسف	فتحة	0	1
513	جَدَّلَ	جدل	فتحة	0	1
514	شَمَّعَ	شمع	فتحة	0	1
515	شَيَّبَ	شيب	فتحة	0	1
516	حَنَّطَ	حنط	فتحة	0	1
517	حَشْحَشَ	حشحش	فتحة	0	1
518	فَصَّصَ	فصص	فتحة	0	1
519	تَلْفَنَ	لفن	فتحة	0	0
520	ذَرْذَرَ	ذرذر	فتحة	0	1
521	مَرَّنَ	مرن	فتحة	0	1
522	جَنَّحَ	جنح	فتحة	0	1
523	قَذَّرَ	قذر	فتحة	0	1
524	هَيَّمَ	هيم	فتحة	0	1
525	صَوَّرَ	صور	فتحة	0	1
526	وَفَّرَ	وفر	فتحة	0	1
527	شَلْشَلَ	شلشل	فتحة	0	1
528	كَفَّنَ	كفن	فتحة	0	1
529	خَضَّعَ	خضع	فتحة	0	1
530	فَصَّدَ	فصد	فتحة	0	1
531	هَزْهَزَ	هزهز	فتحة	0	1
532	جَيَّرَ	جير	فتحة	0	1
533	لَبَّسَ	لبس	فتحة	0	1
534	سَلَّمَ	سلم	فتحة	0	1
535	حَنَّفَ	حنف	فتحة	0	1
536	شَبَّبَ	شبب	فتحة	0	1
537	شَبَّرَ	شبر	فتحة	0	1
538	قَفَّصَ	قفص	فتحة	0	1
539	سَجَّنَ	سجن	فتحة	0	1
540	شَعَّثَ	شعث	فتحة	0	1
541	جَمَّلَ	جمل	فتحة	0	1
542	فَوَّطَ	فوط	فتحة	0	1
543	قَتَّلَ	قتل	فتحة	0	1
544	شَعَّلَ	شعل	فتحة	0	1
545	حَرَّمَ	حرم	فتحة	0	1
546	شَرْشَرَ	شرشر	فتحة	0	1
547	خَبَّرَ	خبر	فتحة	0	1
548	شَخَّصَ	شخص	فتحة	0	1
549	خَرَّجَ	خرج	فتحة	0	1
550	سَبَّحَ	سبح	فتحة	0	1
551	شَدَّدَ	شدد	فتحة	0	1
552	شَذَّبَ	شذب	فتحة	0	1
553	نَدَّدَ	ندد	فتحة	0	1
554	مَعَّكَ	معك	فتحة	0	1
555	شَبَّعَ	شبع	فتحة	0	1
556	شَبَّكَ	شبك	فتحة	0	1
557	شَعَّرَ	شعر	فتحة	0	1
558	شَذَّرَ	شذر	فتحة	0	1
559	فَرَّقَ	فرق	فتحة	0	1
560	فَرْطَسَ	فرطس	فتحة	0	0
561	سَمَّنَ	سمن	فتحة	0	1
562	هَلْهَلَ	هلهل	فتحة	0	1
563	زَلَّفَ	زلف	فتحة	0	1
564	خَفَّفَ	خفف	فتحة	0	1
565	كَحَّلَ	كحل	فتحة	0	1
566	سَمَّمَ	سمم	فتحة	0	1
567	سَنَّدَ	سند	فتحة	0	1
568	بَهْدَلَ	بهدل	فتحة	0	1
569	حَبَّرَ	حبر	فتحة	0	1
570	حَوَّقَ	حوق	فتحة	0	1
571	سَهَّدَ	سهد	فتحة	0	1
572	بَنَّجَ	بنج	فتحة	0	1
573	وَعَّزَ	وعز	فتحة	0	0
574	رَنَّقَ	رنق	فتحة	0	1
